ticker,sector,price_usd,p_e_forward,p_bv,roe,margen_neto,ev_ebitda,market_cap_usd_billions
GGAL,Financiero,5.03,3.31,1.29,0.90,1.14,0.00,8.10
BMA,Financiero,9.05,3.10,1.36,5.50,7.12,0.00,5.43
BBAR,Financiero,2.11,3.22,1.32,7.15,7.13,0.00,3.57
SUPV,Financiero,8.87,7.82,1.10,-7.75,-10.41,0.00,0.89
VALO,Financiero,0.65,NA,1.81,16.86,22.19,1.95,0.73
YPF,Energía,56.84,8.20,1.85,-2.94,-1.82,5.37,22.57
PAM,Energía,3.47,6.68,1.20,12.10,20.31,4.94,4.40
TGS,Energía,31.41,8.56,1.78,14.34,24.67,6.12,4.44
TGSU,Energía,31.41,8.56,1.78,14.34,24.67,6.12,4.44
PAMP,Energía,3.47,6.68,1.20,12.10,20.31,4.94,4.40
CEPU,Utilities,15.13,8.07,1.21,19.27,36.67,5.32,2.20
EDN,Utilities,26.54,8.75,0.64,14.66,10.35,2.31,1.23
TXAR,Materiales,0.61,4.08,0.48,4.20,9.51,4.82,3.09
ALUA,Materiales,0.86,16.67,1.37,1.04,0.06,12.18,2.73
LOMA,Materiales,11.15,9.92,1.57,3.38,4.25,11.43,1.30
HARG,Materiales,1.69,7.69,1.02,-7.31,-9.23,14.40,0.63
TECO2,Comm Services,12.04,5.55,1.01,5.23,3.93,4.25,5.70
CRES,Real Estate,11.55,25.97,0.85,16.04,18.04,4.02,0.77
BYMA,Financiero,0.31,NA,3.03,25.50,63.03,3.02,2.18
MIRG,Technology,18.01,19.49,6.75,8.39,1.29,22.05,2.94
